Day_of_week,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
Hour of the day,,,,,,,
0,56,56,56,57,53,56,55
1,56,55,56,59,52,54,54
2,58,56,62,60,57,59,57
3,57,56,60,63,60,58,58
4,60,62,61,62,61,61,59
5,63,60,65,66,60,61,64
6,62,58,68,66,62,61,60
7,59,61,63,63,60,60,60
8,62,60,63,65,62,61,58
9,59,57,64,62,56,58,59
10,58,58,64,62,57,58,58
11,57,58,62,60,56,58,57
12,59,59,61,61,57,58,57
13,58,58,62,62,58,57,58
14,57,59,62,59,55,57,58
15,57,59,61,61,55,57,57
16,55,57,60,58,55,56,54
17,56,55,60,58,54,54,53
18,55,55,60,58,55,55,52
19,55,52,59,56,53,53,54
20,56,53,58,57,52,52,54
21,56,54,58,56,53,51,54
22,55,54,57,55,52,52,54
23,55,51,60,54,52,50,53
